datetime,respond_timestamp,quote,Pred_Signal,buy_power,accuracy
2022-04-20 12:44,2022-04-20 12:44,985.35,0,39.5,0.7546468401486989
2022-04-20 12:45,2022-04-20 12:45,986.26,0,39.5,0.7592592592592593
2022-04-20 12:46,2022-04-20 12:46,987.07,0,39.5,0.7592592592592593
2022-04-20 12:47,2022-04-20 12:47,986.43,0,39.5,0.7074074074074074
2022-04-20 12:48,2022-04-20 12:48,985.33,0,39.5,0.7481481481481481
2022-04-20 12:49,2022-04-20 12:49,985.82,0,39.5,0.7518518518518519
2022-04-20 12:50,2022-04-20 12:50,986.22,0,39.5,0.7527675276752768
2022-04-20 12:51,2022-04-20 12:51,987.25,0,39.5,0.7564575645756457
2022-04-20 12:52,2022-04-20 12:52,986.83,0,39.5,0.7564575645756457
2022-04-20 12:53,2022-04-20 12:53,987.7,0,39.5,0.7490774907749077
2022-04-20 12:54,2022-04-20 12:54,987.32,0,39.5,0.7527675276752768
2022-04-20 12:55,2022-04-20 12:55,987.15,0,39.5,0.7536764705882353
2022-04-20 12:56,2022-04-20 12:56,989.56,0,39.5,0.75
2022-04-20 12:57,2022-04-20 12:57,987.99,-1,39.5,0.7389705882352942
2022-04-20 12:58,2022-04-20 12:58,987.74,0,39.5,0.7536764705882353
2022-04-20 12:59,2022-04-20 12:59,986.65,0,39.5,0.7463235294117647
2022-04-20 13:00,2022-04-20 13:00,986.85,0,39.5,0.7472527472527473
2022-04-20 13:01,2022-04-20 13:01,985.89,-1,39.5,0.7472527472527473
2022-04-20 13:02,2022-04-20 13:02,987.0,-1,39.5,0.7509157509157509
2022-04-20 13:03,2022-04-20 13:03,986.38,1,39.5,0.7472527472527473
2022-04-20 13:04,2022-04-20 13:04,988.58,1,39.5,0.7472527472527473
2022-04-20 13:05,2022-04-20 13:05,988.35,0,39.5,0.7481751824817519
2022-04-20 13:06,2022-04-20 13:06,986.62,1,39.5,0.7518248175182481
2022-04-20 13:07,2022-04-20 13:07,986.1,-1,39.5,0.7481751824817519
2022-04-20 13:08,2022-04-20 13:08,985.31,0,39.5,0.7518248175182481
2022-04-20 13:09,2022-04-20 13:09,985.15,-1,39.5,0.7481751824817519
2022-04-20 13:10,2022-04-20 13:10,985.0,0,39.5,0.7490909090909091
2022-04-20 13:11,2022-04-20 13:11,985.02,0,39.5,0.7454545454545455
2022-04-20 13:12,2022-04-20 13:12,986.83,1,39.5,0.7381818181818182
2022-04-20 13:13,2022-04-20 13:13,989.5,0,39.5,0.7454545454545455
2022-04-20 13:14,2022-04-20 13:14,989.42,1,39.5,0.7418181818181818
2022-04-20 13:15,2022-04-20 13:15,988.75,-1,39.5,0.7391304347826086
2022-04-20 13:16,2022-04-20 13:16,990.4,0,39.5,0.75
2022-04-20 13:17,2022-04-20 13:17,989.56,-1,39.5,0.7391304347826086
2022-04-20 13:18,2022-04-20 13:18,987.27,-1,39.5,0.7536231884057971
2022-04-20 13:19,2022-04-20 13:19,985.23,1,39.5,0.7463768115942029
2022-04-20 13:20,2022-04-20 13:20,985.64,-1,39.5,0.7364620938628159
2022-04-20 13:21,2022-04-20 13:21,985.69,-1,39.5,0.7509025270758123
2022-04-20 13:22,2022-04-20 13:22,987.0,0,39.5,0.7364620938628159
2022-04-20 13:23,2022-04-20 13:23,987.99,1,39.5,0.7292418772563177
2022-04-20 13:24,2022-04-20 13:24,986.74,0,39.5,0.7328519855595668
2022-04-20 13:25,2022-04-20 13:25,986.57,1,39.5,0.7302158273381295
2022-04-20 13:26,2022-04-20 13:26,985.18,-1,39.5,0.7302158273381295
2022-04-20 13:27,2022-04-20 13:27,985.42,0,39.5,0.7410071942446043
2022-04-20 13:28,2022-04-20 13:28,985.45,0,39.5,0.7482014388489209
2022-04-20 13:29,2022-04-20 13:29,986.03,1,39.5,0.7338129496402878
2022-04-20 13:30,2022-04-20 13:30,986.6,0,39.5,0.7455197132616488
2022-04-20 13:31,2022-04-20 13:31,986.5,0,39.5,0.7383512544802867
2022-04-20 13:32,2022-04-20 13:32,986.32,-1,39.5,0.7275985663082437
2022-04-20 13:33,2022-04-20 13:33,985.73,-1,39.5,0.7311827956989247
2022-04-20 13:34,2022-04-20 13:34,985.93,-1,39.5,0.7311827956989247
2022-04-20 13:35,2022-04-20 13:35,987.25,0,39.5,0.7392857142857143
2022-04-20 13:36,2022-04-20 13:36,988.53,0,39.5,0.7357142857142858
2022-04-20 13:37,2022-04-20 13:37,988.41,0,39.5,0.7392857142857143
2022-04-20 13:38,2022-04-20 13:38,988.89,0,39.5,0.7392857142857143
2022-04-20 13:39,2022-04-20 13:39,988.43,0,39.5,0.7428571428571429
2022-04-20 13:40,2022-04-20 13:40,988.77,1,39.5,0.7330960854092526
2022-04-20 13:41,2022-04-20 13:41,988.27,0,39.5,0.7402135231316725
2022-04-20 13:42,2022-04-20 13:42,988.22,0,39.5,0.7295373665480427
2022-04-20 13:43,2022-04-20 13:43,989.3,0,39.5,0.7366548042704626
2022-04-20 13:44,2022-04-20 13:44,990.27,0,39.5,0.7366548042704626
2022-04-20 13:45,2022-04-20 13:45,990.0,-1,39.5,0.7269503546099291
2022-04-20 13:46,2022-04-20 13:46,989.08,0,39.5,0.7340425531914894
2022-04-20 13:47,2022-04-20 13:47,990.36,0,39.5,0.7304964539007093
2022-04-20 13:48,2022-04-20 13:48,989.62,-1,39.5,0.7304964539007093
2022-04-20 13:49,2022-04-20 13:49,988.47,-1,39.5,0.7411347517730497
2022-04-20 13:50,2022-04-20 13:50,986.12,0,39.5,0.7420494699646644
2022-04-20 13:51,2022-04-20 13:51,986.24,-1,39.5,0.7385159010600707
2022-04-20 13:52,2022-04-20 13:52,986.0,1,39.5,0.7420494699646644
2022-04-20 13:53,2022-04-20 13:53,985.75,0,39.5,0.7455830388692579
2022-04-20 13:54,2022-04-20 13:54,985.58,0,39.5,0.7455830388692579
2022-04-20 13:55,2022-04-20 13:55,985.3,0,39.5,0.7605633802816901
2022-04-20 13:56,2022-04-20 13:56,985.53,0,39.5,0.7464788732394366
2022-04-20 13:57,2022-04-20 13:57,986.12,0,39.5,0.7464788732394366
2022-04-20 13:58,2022-04-20 13:58,987.09,1,39.5,0.7464788732394366
2022-04-20 13:59,2022-04-20 13:59,988.43,0,39.5,0.7429577464788732
2022-04-20 14:00,2022-04-20 14:00,988.51,0,39.5,0.7473684210526316
2022-04-20 14:01,2022-04-20 14:01,988.41,1,39.5,0.7403508771929824
2022-04-20 14:02,2022-04-20 14:02,990.99,0,39.5,0.7438596491228069
2022-04-20 14:03,2022-04-20 14:03,989.24,1,39.5,0.7473684210526316
2022-04-20 14:04,2022-04-20 14:04,989.34,0,39.5,0.7438596491228069
2022-04-20 14:05,2022-04-20 14:05,989.57,0,39.5,0.7412587412587412
2022-04-20 14:06,2022-04-20 14:06,989.87,-1,39.5,0.7342657342657343
2022-04-20 14:07,2022-04-20 14:07,986.25,-1,39.5,0.7342657342657343
2022-04-20 14:08,2022-04-20 14:08,986.63,0,39.5,0.7377622377622378
2022-04-20 14:09,2022-04-20 14:09,986.73,0,39.5,0.7307692307692307
2022-04-20 14:10,2022-04-20 14:10,985.98,-1,39.5,0.735191637630662
2022-04-20 14:11,2022-04-20 14:11,985.79,0,39.5,0.7317073170731707
2022-04-20 14:12,2022-04-20 14:12,986.48,0,39.5,0.7282229965156795
2022-04-20 14:13,2022-04-20 14:13,985.88,0,39.5,0.7386759581881533
2022-04-20 14:14,2022-04-20 14:14,985.85,0,39.5,0.7317073170731707
2022-04-20 14:15,2022-04-20 14:15,986.15,1,39.5,0.7222222222222222
2022-04-20 14:16,2022-04-20 14:16,986.71,1,39.5,0.7326388888888888
2022-04-20 14:17,2022-04-20 14:17,985.48,0,39.5,0.7222222222222222
2022-04-20 14:18,2022-04-20 14:18,985.89,0,39.5,0.71875
2022-04-20 14:19,2022-04-20 14:19,985.59,1,39.5,0.7222222222222222
2022-04-20 14:20,2022-04-20 14:20,985.39,0,39.5,0.726643598615917
2022-04-20 14:21,2022-04-20 14:21,984.93,0,39.5,0.7301038062283737
2022-04-20 14:22,2022-04-20 14:22,985.13,0,39.5,0.726643598615917
2022-04-20 14:23,2022-04-20 14:23,984.97,0,39.5,0.726643598615917
2022-04-20 14:24,2022-04-20 14:24,985.39,1,39.5,0.7197231833910035
2022-04-20 14:25,2022-04-20 14:25,985.68,0,39.5,0.7241379310344828
2022-04-20 14:26,2022-04-20 14:26,984.99,0,39.5,0.7241379310344828
2022-04-20 14:27,2022-04-20 14:27,985.55,1,39.5,0.7241379310344828
2022-04-20 14:28,2022-04-20 14:28,985.4,1,39.5,0.7275862068965517
2022-04-20 14:29,2022-04-20 14:29,985.54,0,39.5,0.7310344827586207
2022-04-20 14:30,2022-04-20 14:30,985.26,-1,39.5,0.7250859106529209
2022-04-20 14:31,2022-04-20 14:31,986.49,0,39.5,0.7319587628865979
2022-04-20 14:32,2022-04-20 14:32,986.8,0,39.5,0.7285223367697594
2022-04-20 14:33,2022-04-20 14:33,986.89,0,39.5,0.7388316151202751
2022-04-20 14:34,2022-04-20 14:34,987.34,0,39.5,0.7285223367697594
2022-04-20 14:35,2022-04-20 14:35,987.22,0,39.5,0.7294520547945206
2022-04-20 14:36,2022-04-20 14:36,985.14,0,39.5,0.7363013698630136
2022-04-20 14:37,2022-04-20 14:37,983.78,1,39.5,0.7328767123287672
2022-04-20 14:38,2022-04-20 14:38,983.65,-1,39.5,0.7294520547945206
2022-04-20 14:39,2022-04-20 14:39,982.9,0,39.5,0.7328767123287672
2022-04-20 14:40,2022-04-20 14:40,982.9,1,39.5,0.7303754266211604
2022-04-20 14:41,2022-04-20 14:41,982.32,1,39.5,0.726962457337884
2022-04-20 14:42,2022-04-20 14:42,982.26,0,39.5,0.7303754266211604
2022-04-20 14:43,2022-04-20 14:43,982.83,0,39.5,0.7508532423208191
2022-04-20 14:44,2022-04-20 14:44,982.74,0,39.5,0.726962457337884
2022-04-20 14:45,2022-04-20 14:45,982.79,0,39.5,0.7482993197278912
2022-04-20 14:46,2022-04-20 14:46,982.51,0,39.5,0.7312925170068028
2022-04-20 14:47,2022-04-20 14:47,982.69,1,39.5,0.7278911564625851
2022-04-20 14:48,2022-04-20 14:48,983.0,0,39.5,0.7312925170068028
2022-04-20 14:49,2022-04-20 14:49,983.54,0,39.5,0.7312925170068028
2022-04-20 14:50,2022-04-20 14:50,982.94,0,39.5,0.7322033898305085
2022-04-20 14:51,2022-04-20 14:51,981.95,1,39.5,0.7355932203389829
2022-04-20 14:52,2022-04-20 14:52,980.3,-1,39.5,0.7355932203389829
2022-04-20 14:53,2022-04-20 14:53,979.83,0,39.5,0.7491525423728813
2022-04-20 14:54,2022-04-20 14:54,979.36,0,39.5,0.7559322033898305
2022-04-20 14:55,2022-04-20 14:55,977.58,1,39.5,0.75
2022-04-20 14:56,2022-04-20 14:56,977.96,0,39.5,0.7601351351351351
2022-04-20 14:57,2022-04-20 14:57,977.7,0,39.5,0.7601351351351351
2022-04-20 14:58,2022-04-20 14:58,978.45,-1,39.5,0.7567567567567568
2022-04-20 14:59,2022-04-20 14:59,978.31,0,39.5,0.7601351351351351
2022-04-20 15:00,2022-04-20 15:00,978.33,0,39.5,0.7575757575757576
2022-04-20 15:01,2022-04-20 15:01,981.61,0,39.5,0.7643097643097643
2022-04-20 15:02,2022-04-20 15:02,981.54,1,39.5,0.7609427609427609
2022-04-20 15:03,2022-04-20 15:03,981.8,0,39.5,0.7643097643097643
2022-04-20 15:04,2022-04-20 15:04,981.44,0,39.5,0.7643097643097643
2022-04-20 15:05,2022-04-20 15:05,981.3,0,39.5,0.7684563758389261
2022-04-20 15:06,2022-04-20 15:06,979.62,-1,39.5,0.7651006711409396
2022-04-20 15:07,2022-04-20 15:07,979.78,-1,39.5,0.7617449664429531
2022-04-20 15:08,2022-04-20 15:08,979.71,0,39.5,0.7751677852348994
2022-04-20 15:09,2022-04-20 15:09,980.36,0,39.5,0.7818791946308725
2022-04-20 15:10,2022-04-20 15:10,981.4,0,39.5,0.7792642140468228
2022-04-20 15:11,2022-04-20 15:11,979.53,0,39.5,0.7725752508361204
2022-04-20 15:12,2022-04-20 15:12,980.26,0,39.5,0.7826086956521741
2022-04-20 15:13,2022-04-20 15:13,981.4,0,39.5,0.7826086956521741
2022-04-20 15:14,2022-04-20 15:14,982.82,-1,39.5,0.7792642140468228
2022-04-20 15:15,2022-04-20 15:15,982.39,0,39.5,0.7833333333333333
2022-04-20 15:16,2022-04-20 15:16,982.19,0,39.5,0.78
2022-04-20 15:17,2022-04-20 15:17,983.67,0,39.5,0.7766666666666666
2022-04-20 15:18,2022-04-20 15:18,982.44,-1,39.5,0.7766666666666666
2022-04-20 15:19,2022-04-20 15:19,983.57,0,39.5,0.78
2022-04-20 15:20,2022-04-20 15:20,982.41,0,39.5,0.7807308970099668
2022-04-20 15:21,2022-04-20 15:21,982.36,1,39.5,0.7774086378737541
2022-04-20 15:22,2022-04-20 15:22,981.62,0,39.5,0.7840531561461794
2022-04-20 15:23,2022-04-20 15:23,980.0,0,39.5,0.7707641196013291
2022-04-20 15:24,2022-04-20 15:24,981.55,0,39.5,0.7740863787375415
2022-04-20 15:25,2022-04-20 15:25,983.8,1,39.5,0.7715231788079471
2022-04-20 15:26,2022-04-20 15:26,984.23,0,39.5,0.7748344370860927
2022-04-20 15:27,2022-04-20 15:27,983.04,0,39.5,0.7847682119205298
2022-04-20 15:28,2022-04-20 15:28,980.9,0,39.5,0.7748344370860927
2022-04-20 15:29,2022-04-20 15:29,980.8,-1,39.5,0.7715231788079471
2022-04-20 15:30,2022-04-20 15:30,981.7,1,39.5,0.7722772277227723
2022-04-20 15:31,2022-04-20 15:31,981.55,0,39.5,0.7755775577557755
2022-04-20 15:32,2022-04-20 15:32,981.61,0,39.5,0.7755775577557755
2022-04-20 15:33,2022-04-20 15:33,980.15,0,39.5,0.7755775577557755
2022-04-20 15:34,2022-04-20 15:34,979.98,-1,39.5,0.7920792079207921
2022-04-20 15:35,2022-04-20 15:35,980.0,1,39.5,0.7828947368421053
2022-04-20 15:36,2022-04-20 15:36,980.4,0,39.5,0.7730263157894737
2022-04-20 15:37,2022-04-20 15:37,981.88,0,39.5,0.7730263157894737
2022-04-20 15:38,2022-04-20 15:38,980.92,0,39.5,0.7730263157894737
2022-04-20 15:39,2022-04-20 15:39,982.3,1,39.5,0.7730263157894737
2022-04-20 15:40,2022-04-20 15:40,981.2,1,39.5,0.7704918032786885
2022-04-20 15:41,2022-04-20 15:41,981.45,0,39.5,0.7704918032786885
2022-04-20 15:42,2022-04-20 15:42,983.63,0,39.5,0.7737704918032787
2022-04-20 15:43,2022-04-20 15:43,983.3,0,39.5,0.7540983606557377
2022-04-20 15:44,2022-04-20 15:44,983.17,0,39.5,0.7737704918032787
2022-04-20 15:45,2022-04-20 15:45,984.69,0,39.5,0.7745098039215687
2022-04-20 15:46,2022-04-20 15:46,984.25,1,39.5,0.7647058823529411
2022-04-20 15:47,2022-04-20 15:47,985.0,0,39.5,0.7712418300653595
2022-04-20 15:48,2022-04-20 15:48,985.52,0,39.5,0.7745098039215687
2022-04-20 15:49,2022-04-20 15:49,984.5,0,39.5,0.7679738562091504
2022-04-20 15:50,2022-04-20 15:50,982.38,-1,39.5,0.7654723127035831
2022-04-20 15:51,2022-04-20 15:51,980.66,1,39.5,0.7654723127035831
2022-04-20 15:52,2022-04-20 15:52,980.61,-1,39.5,0.7654723127035831
2022-04-20 15:53,2022-04-20 15:53,980.9,1,39.5,0.7687296416938111
2022-04-20 15:54,2022-04-20 15:54,980.22,0,39.5,0.7719869706840391
2022-04-20 15:55,2022-04-20 15:55,978.98,0,39.5,0.7727272727272727
2022-04-20 15:56,2022-04-20 15:56,977.96,0,39.5,0.7792207792207793
2022-04-20 15:57,2022-04-20 15:57,977.85,0,39.5,0.7305194805194806
2022-04-20 15:58,2022-04-20 15:58,977.08,-1,39.5,0.7694805194805194
2022-04-20 15:59,2022-04-20 15:59,975.99,0,39.5,0.7792207792207793
